GO:0000001	mitochondrion inheritance
GO:0010025	wax biosynthetic process
GO:0010026	trichome differentiation
GO:0010027	thylakoid membrane organization
GO:0010028	xanthophyll cycle
GO:0010029	regulation of seed germination
GO:0010030	positive regulation of seed germination
GO:0010031	circumnutation
GO:0010032	meiotic chromosome condensation
GO:0010033	response to organic substance
GO:0010034	response to acetate
GO:0010035	response to inorganic substance
GO:0010036	response to boron-containing substance
GO:0010037	response to carbon dioxide
GO:0010038	response to metal ion
GO:0010039	response to iron ion
GO:0010040	response to iron(II) ion
GO:0010041	response to iron(III) ion
GO:0010042	response to manganese ion
GO:0010043	response to zinc ion
GO:0010044	response to aluminum ion
GO:0010045	response to nickel cation
GO:0010046	response to mycotoxin
GO:0010047	fruit dehiscence
GO:0010048	vernalization response
GO:0010050	vegetative phase change
GO:0010051	xylem and phloem pattern formation
GO:0010052	guard cell differentiation
GO:0010053	root epidermal cell differentiation
GO:0010054	trichoblast differentiation
GO:0010058	regulation of atrichoblast fate specification
GO:0010059	positive regulation of atrichoblast fate specification
GO:0010061	regulation of trichoblast fate specification
GO:0010063	positive regulation of trichoblast fate specification
GO:0010064	embryonic shoot morphogenesis
GO:0010065	primary meristem tissue development
GO:0010067	procambium histogenesis
GO:0010068	protoderm histogenesis
GO:0010069	zygote asymmetric cytokinesis in embryo sac
GO:0010070	zygote asymmetric cell division
GO:0010071	root meristem specification
GO:0010072	primary shoot apical meristem specification
GO:0010073	meristem maintenance
GO:0010074	maintenance of meristem identity
GO:0010075	regulation of meristem growth
GO:0010076	maintenance of floral meristem identity
GO:0010077	maintenance of inflorescence meristem identity
GO:0010078	maintenance of root meristem identity
GO:0010080	regulation of floral meristem growth
GO:0010081	regulation of inflorescence meristem growth
GO:0010082	regulation of root meristem growth
GO:0010083	regulation of vegetative meristem growth
GO:0010084	specification of organ axis polarity
GO:0010085	polarity specification of proximal/distal axis
GO:0010086	embryonic root morphogenesis
GO:0010087	phloem or xylem histogenesis
GO:0010088	phloem development
GO:0010089	xylem development
GO:0010090	trichome morphogenesis
GO:0010091	trichome branching
GO:0010092	specification of organ identity
GO:0010093	specification of floral organ identity
GO:0010094	specification of carpel identity
GO:0010097	specification of stamen identity
GO:0010098	suspensor development
GO:0010099	regulation of photomorphogenesis
GO:0010100	negative regulation of photomorphogenesis
GO:0010101	post-embryonic root morphogenesis
GO:0010102	lateral root morphogenesis
GO:0010103	stomatal complex morphogenesis
GO:0010104	regulation of ethylene mediated signaling pathway
GO:0010105	negative regulation of ethylene mediated signaling pathway
GO:0010106	cellular response to iron ion starvation
GO:0010107	potassium ion import
GO:0010109	regulation of photosynthesis
GO:0010110	regulation of photosynthesis, dark reaction
GO:0010111	glyoxysome organization
GO:0010112	regulation of systemic acquired resistance
GO:0010113	negative regulation of systemic acquired resistance
GO:0010114	response to red light
GO:0010115	regulation of abscisic acid biosynthetic process
GO:0010116	positive regulation of abscisic acid biosynthetic process
GO:0010117	photoprotection
GO:0010118	stomatal movement
GO:0010119	regulation of stomatal movement
GO:0010120	camalexin biosynthetic process
GO:0010121	arginine catabolic process to proline via ornithine
GO:0010124	phenylacetate catabolic process
GO:0010125	mycothiol biosynthetic process
GO:0010126	mycothiol metabolic process
GO:0010127	mycothiol-dependent detoxification
GO:0010130	anaerobic ethylbenzene catabolic process
GO:0010133	proline catabolic process to glutamate
GO:0010134	sulfate assimilation via adenylyl sulfate reduction
GO:0010135	ureide metabolic process
GO:0010136	ureide catabolic process
GO:0010138	pyrimidine ribonucleotide salvage
GO:0010139	pyrimidine deoxyribonucleotide salvage
GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway
GO:0010143	cutin biosynthetic process
GO:0010145	fructan metabolic process
GO:0010147	fructan catabolic process
GO:0010148	transpiration
GO:0010150	leaf senescence
GO:0010152	pollen maturation
GO:0010154	fruit development
GO:0010155	regulation of proton transport
GO:0010157	response to chlorate
GO:0010158	abaxial cell fate specification
GO:0010159	specification of organ position
GO:0010160	formation of organ boundary
GO:0010161	red light signaling pathway
GO:0010162	seed dormancy process
GO:0010163	high-affinity potassium ion import
GO:0010164	response to cesium ion
GO:0010165	response to X-ray
GO:0010166	wax metabolic process
GO:0010167	response to nitrate
GO:0010171	body morphogenesis
GO:0010172	embryonic body morphogenesis
GO:0010182	sugar mediated signaling pathway
GO:0010183	pollen tube guidance
GO:0010184	cytokinin transport
GO:0010185	regulation of cellular defense response
GO:0010187	negative regulation of seed germination
GO:0010188	response to microbial phytotoxin
GO:0010189	vitamin E biosynthetic process
GO:0010190	cytochrome b6f complex assembly
GO:0010191	mucilage metabolic process
GO:0010192	mucilage biosynthetic process
GO:0010193	response to ozone
GO:0010196	nonphotochemical quenching
GO:0010197	polar nucleus fusion
GO:0010198	synergid death
GO:0010199	organ boundary specification between lateral organs and the meristem
GO:0010200	response to chitin
GO:0010201	response to continuous far red light stimulus by the high-irradiance response system
GO:0010202	response to low fluence red light stimulus
GO:0010203	response to very low fluence red light stimulus
GO:0010204	defense response signaling pathway, resistance gene-independent
GO:0010205	photoinhibition
GO:0010206	photosystem II repair
GO:0010207	photosystem II assembly
GO:0010208	pollen wall assembly
GO:0010212	response to ionizing radiation
GO:0010213	non-photoreactive DNA repair
GO:0010214	seed coat development
GO:0010215	cellulose microfibril organization
GO:0010216	maintenance of DNA methylation
GO:0010218	response to far red light
GO:0010219	regulation of vernalization response
GO:0010220	positive regulation of vernalization response
GO:0010221	negative regulation of vernalization response
GO:0010222	stem vascular tissue pattern formation
GO:0010223	secondary shoot formation
GO:0010224	response to UV-B
GO:0010225	response to UV-C
GO:0010226	response to lithium ion
GO:0010227	floral organ abscission
GO:0010228	vegetative to reproductive phase transition of meristem
GO:0010229	inflorescence development
GO:0010230	alternative respiration
GO:0010231	maintenance of seed dormancy
GO:0010232	vascular transport
GO:0010233	phloem transport
GO:0010234	anther wall tapetum cell fate specification
GO:0010235	guard mother cell cytokinesis
GO:0010236	plastoquinone biosynthetic process
GO:0010239	chloroplast mRNA processing
GO:0010241	ent-kaurene oxidation to kaurenoic acid
GO:0010243	response to organic nitrogen
GO:0010244	response to low fluence blue light stimulus by blue low-fluence system
GO:0010245	radial microtubular system formation
GO:0010247	detection of phosphate ion
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient
GO:0010249	auxin conjugate metabolic process
GO:0010252	auxin homeostasis
GO:0010253	UDP-rhamnose biosynthetic process
GO:0010254	nectary development
GO:0010255	glucose mediated signaling pathway
GO:0010256	endomembrane system organization
GO:0010257	NADH dehydrogenase complex assembly
GO:0010258	NADH dehydrogenase complex (plastoquinone) assembly
GO:0010259	multicellular organismal aging
GO:0010260	organ senescence
GO:0010262	somatic embryogenesis
GO:0010263	tricyclic triterpenoid biosynthetic process
GO:0010264	myo-inositol hexakisphosphate biosynthetic process
GO:0010265	SCF complex assembly
GO:0010266	response to vitamin B1
GO:0010267	production of ta-siRNAs involved in RNA interference
GO:0010268	brassinosteroid homeostasis
GO:0010269	response to selenium ion
GO:0010270	photosystem II oxygen evolving complex assembly
GO:0010271	regulation of chlorophyll catabolic process
GO:0010272	response to silver ion
GO:0010273	detoxification of copper ion
GO:0010274	hydrotropism
GO:0010275	NAD(P)H dehydrogenase complex assembly
GO:0010286	heat acclimation
GO:0010288	response to lead ion
GO:0010289	homogalacturonan biosynthetic process
GO:0010299	detoxification of cobalt ion
GO:0010304	PSII associated light-harvesting complex II catabolic process
GO:0010305	leaf vascular tissue pattern formation
GO:0010306	rhamnogalacturonan II biosynthetic process
GO:0010310	regulation of hydrogen peroxide metabolic process
GO:0010311	lateral root formation
GO:0010312	detoxification of zinc ion
GO:0010315	auxin efflux
GO:0010321	regulation of vegetative phase change
GO:0010322	regulation of isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway
GO:0010323	negative regulation of isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway
GO:0010324	membrane invagination
GO:0010325	raffinose family oligosaccharide biosynthetic process
GO:0010332	response to gamma radiation
GO:0010335	response to non-ionic osmotic stress
GO:0010337	regulation of salicylic acid metabolic process
GO:0010338	leaf formation
GO:0010342	endosperm cellularization
GO:0010343	singlet oxygen-mediated programmed cell death
GO:0010344	seed oilbody biogenesis
GO:0010345	suberin biosynthetic process
GO:0010346	shoot axis formation
GO:0010350	cellular response to magnesium starvation
GO:0010351	lithium ion transport
GO:0010352	lithium ion export
GO:0010353	response to trehalose stimulus
GO:0010358	leaf shaping
GO:0010359	regulation of anion channel activity
GO:0010360	negative regulation of anion channel activity
GO:0010361	regulation of anion channel activity by blue light
GO:0010362	negative regulation of anion channel activity by blue light
GO:0010363	regulation of plant-type hypersensitive response
GO:0010364	regulation of ethylene biosynthetic process
GO:0010365	positive regulation of ethylene biosynthetic process
GO:0010366	negative regulation of ethylene biosynthetic process
GO:0010371	regulation of gibberellin biosynthetic process
GO:0010373	negative regulation of gibberellin biosynthetic process
GO:0010374	stomatal complex development
GO:0010375	stomatal complex patterning
GO:0010376	stomatal complex formation
GO:0010378	temperature compensation of the circadian clock
GO:0010380	regulation of chlorophyll biosynthetic process
GO:0010381	attachment of peroxisome to chloroplast
GO:0010383	cell wall polysaccharide metabolic process
GO:0010384	cell wall proteoglycan metabolic process
GO:0010387	signalosome assembly
GO:0010388	cullin deneddylation
GO:0010389	regulation of G2/M transition of mitotic cell cycle
GO:0010390	histone monoubiquitination
GO:0010393	galacturonan metabolic process
GO:0010394	homogalacturonan metabolic process
GO:0010395	rhamnogalacturonan I metabolic process
GO:0010396	rhamnogalacturonan II metabolic process
GO:0010398	xylogalacturonan metabolic process
GO:0010400	rhamnogalacturonan I side chain metabolic process
GO:0010401	pectic galactan metabolic process
GO:0010404	cell wall hydroxyproline-rich glycoprotein metabolic process
GO:0010405	arabinogalactan protein metabolic process
GO:0010410	hemicellulose metabolic process
GO:0010411	xyloglucan metabolic process
GO:0010412	mannan metabolic process
GO:0010413	glucuronoxylan metabolic process
GO:0010417	glucuronoxylan biosynthetic process
GO:0010421	hydrogen peroxide-mediated programmed cell death
GO:0010422	regulation of brassinosteroid biosynthetic process
GO:0010423	negative regulation of brassinosteroid biosynthetic process
GO:0010424	DNA methylation on cytosine within a CG sequence
GO:0010425	DNA methylation on cytosine within a CNG sequence
GO:0010430	fatty acid omega-oxidation
GO:0010431	seed maturation
GO:0010432	bract development
GO:0010433	bract morphogenesis
GO:0010434	bract formation
GO:0010438	cellular response to sulfur starvation
GO:0010439	regulation of glucosinolate biosynthetic process
GO:0010440	stomatal lineage progression
GO:0010441	guard cell development
GO:0010442	guard cell morphogenesis
GO:0010446	response to alkalinity
GO:0010447	response to acidity
GO:0010448	vegetative meristem growth
GO:0010449	root meristem growth
GO:0010450	inflorescence meristem growth
GO:0010451	floral meristem growth
GO:0010452	histone H3-K36 methylation
GO:0010453	regulation of cell fate commitment
GO:0010454	negative regulation of cell fate commitment
GO:0010455	positive regulation of cell fate commitment
GO:0010456	cell proliferation in dorsal spinal cord
GO:0010457	centriole-centriole cohesion
GO:0010458	exit from mitosis
GO:0010459	negative regulation of heart rate
GO:0010460	positive regulation of heart rate
GO:0010463	mesenchymal cell proliferation
